2025-08-03 17:34:44,863 | INFO | __main__ | ✅ Found config file at: configs/config.py
2025-08-03 17:34:44,956 | ERROR | __main__ | Failed to import from configs folder: cannot import name 'config' from partially initialized module 'config' (most likely due to a circular import) (C:\Users\hamidiabbas\.vscode\ForexBot\configs\config.py)
2025-08-03 17:34:44,959 | ERROR | __main__ | Alternative import also failed: cannot import name 'config' from partially initialized module 'config' (most likely due to a circular import) (C:\Users\hamidiabbas\.vscode\ForexBot\configs\config.py)
2025-08-03 17:34:44,960 | ERROR | __main__ | ❌ Config import failed
2025-08-03 18:03:28,095 | INFO | __main__ | 🚀 Starting Fixed RL Training System
2025-08-03 18:03:39,425 | INFO | __main__ | ✅ RL libraries available
2025-08-03 18:03:39,436 | INFO | __main__ | ✅ PyTorch 2.7.1+cpu available
2025-08-03 18:03:39,757 | INFO | __main__ | ✅ MetaTrader5 available
2025-08-03 18:03:39,758 | INFO | __main__ | ✅ Found config file at: configs\config.py
2025-08-03 18:03:39,770 | ERROR | __main__ | ❌ Failed to load config: cannot import name 'config' from 'config' (unknown location)
2025-08-03 18:03:39,770 | INFO | __main__ | Trying fallback method...
2025-08-03 18:03:39,795 | ERROR | __main__ | ❌ Fallback method also failed: cannot import name 'config' from 'config' (unknown location)
